municipio,abertura,fechamento,atividade,porte,natureza juridica
Colônia do Gurguéia,2007-09-22,2019-08-23,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,EI – Empresário Individual
Colônia do Piauí,2004-04-11,,ELETRICIDADE E GÁS,media/grande,MEI – Microempreendedor Individual
Conceição do Canindé,2013-07-30,2022-08-04,ATIVIDADES IMOBILIÁRIAS,pequena,EI – Empresário Individual
Coronel José Dias,2006-05-10,2006-10-08,ELETRICIDADE E GÁS,media/grande,MEI – Microempreendedor Individual
Corrente,2015-08-17,2009-05-25,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,EI – Empresário Individual
Cristalândia do Piauí,2014-08-04,,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,Sociedade Anônima
Cristino Castro,2006-05-08,2002-09-10,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,Sociedade Simples Limitada
Curimatá,2008-01-09,2012-07-27,INDÚSTRIAS EXTRATIVAS,pequena,Sociedade Simples Limitada
Currais,2018-08-20,2004-10-09,EDUCAÇÃO,media/grande,MEI – Microempreendedor Individual
Curral Novo do Piauí,2013-07-01,2016-05-24,SERVIÇOS DOMÉSTICOS,media/grande,Sociedade Simples Limitada
Curralinhos,2013-09-12,2000-10-21,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Eireli
Demerval Lobão,2019-02-02,2014-10-06,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Eireli
Dirceu Arcoverde,2008-12-29,,CONSTRUÇÃO,me,MEI – Microempreendedor Individual
Dom Expedito Lopes,2004-12-24,,ATIVIDADES IMOBILIÁRIAS,pequena,Sociedade Anônima
Dom Inocêncio,2005-05-26,2003-08-13,ATIVIDADES IMOBILIÁRIAS,pequena,Sociedade Simples Limitada
Domingos Mourão,2023-12-10,2012-10-25,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,MEI – Microempreendedor Individual
Elesbão Veloso,2012-02-05,2022-11-23,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Simples Limitada
Eliseu Martins,2005-04-07,2018-07-19,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Sociedade Anônima
Esperantina,2013-01-18,2002-07-19,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,MEI – Microempreendedor Individual
Fartura do Piauí,2023-06-20,,INDÚSTRIAS DE TRANSFORMAÇÃO,me,EI – Empresário Individual
Flores do Piauí,2011-05-14,2008-04-05,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,Sociedade Anônima
Floresta do Piauí,2015-12-31,2006-11-06,ELETRICIDADE E GÁS,media/grande,Eireli
Floriano,2001-05-02,2017-06-13,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",me,MEI – Microempreendedor Individual
Francinópolis,2001-02-14,2001-02-03,INFORMAÇÃO E COMUNICAÇÃO,me,MEI – Microempreendedor Individual
Francisco Ayres,2008-06-06,2024-01-13,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Sociedade Simples Limitada
Francisco Macedo,2014-07-17,2014-05-17,CONSTRUÇÃO,me,Sociedade Anônima
Francisco Santos,2012-05-18,2015-03-09,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,MEI – Microempreendedor Individual
Fronteiras,2015-06-11,2013-07-31,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,MEI – Microempreendedor Individual
Geminiano,2011-10-15,2006-01-02,INFORMAÇÃO E COMUNICAÇÃO,pequena,Sociedade Anônima
Gilbués,2010-10-02,2013-12-20,ATIVIDADES IMOBILIÁRIAS,media/grande,MEI – Microempreendedor Individual
Guadalupe,2017-05-08,2012-09-08,INFORMAÇÃO E COMUNICAÇÃO,pequena,MEI – Microempreendedor Individual
Guaribas,2003-12-09,2013-04-03,INFORMAÇÃO E COMUNICAÇÃO,media/grande,MEI – Microempreendedor Individual
Hugo Napoleão,2011-08-14,2020-01-08,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,MEI – Microempreendedor Individual
Ilha Grande,2015-12-13,2006-02-24,SERVIÇOS DOMÉSTICOS,mei,MEI – Microempreendedor Individual
Inhuma,2012-07-10,,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Simples Limitada
Ipirá,2003-09-27,2012-01-29,INFORMAÇÃO E COMUNICAÇÃO,media/grande,MEI – Microempreendedor Individual
Isaías Coelho,2003-04-08,,COMÉRCIO,media/grande,Sociedade Simples Limitada
Itainópolis,2013-11-23,2016-11-07,ELETRICIDADE E GÁS,media/grande,Sociedade Simples Limitada
Itaueira,2017-01-25,2001-08-28,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Sociedade Simples Limitada
Jacobina do Piauí,2021-07-13,2017-02-07,CONSTRUÇÃO,pequena,EI – Empresário Individual
Jaicós,2001-04-11,2019-07-02,COMÉRCIO,mei,MEI – Microempreendedor Individual
Jardim do Mulato,2002-01-08,2022-09-22,COMÉRCIO,pequena,Eireli
Jatobá do Piauí,2016-09-24,2011-01-16,INFORMAÇÃO E COMUNICAÇÃO,media/grande,Sociedade Simples Limitada
Jerumenha,2023-05-06,,ALOJAMENTO E ALIMENTAÇÃO,media/grande,MEI – Microempreendedor Individual
João Costa,2018-11-19,2016-07-21,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Eireli
Joaquim Pires,2001-06-15,2012-01-10,SERVIÇOS DOMÉSTICOS,media/grande,Sociedade Anônima
Joca Marques,2023-03-24,2023-02-18,INDÚSTRIAS EXTRATIVAS,media/grande,Sociedade Simples Limitada
José de Freitas,2006-11-26,2017-07-05,COMÉRCIO,pequena,EI – Empresário Individual
Juazeiro do Piauí,2023-09-15,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,Sociedade Anônima
Júlio Borges,2006-05-29,2020-12-09,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,Sociedade Simples Limitada
Jurema,2006-12-28,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,Eireli
Lagoa Alegre,2006-02-21,,OUTRAS ATIVIDADES DE SERVIÇOS,mei,EI – Empresário Individual
Lagoa de São Francisco,2023-02-13,2007-01-02,COMÉRCIO,pequena,MEI – Microempreendedor Individual
Lagoa do Barro do Piauí,2003-10-24,2009-08-16,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,EI – Empresário Individual
Lagoa do Piauí,2013-12-12,2012-02-21,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Sociedade Simples Limitada
Lagoa do Sítio,2010-06-14,2004-09-18,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,MEI – Microempreendedor Individual
Lagoinha do Piauí,2022-01-07,2021-09-06,INFORMAÇÃO E COMUNICAÇÃO,pequena,Sociedade Simples Limitada
Landri Sales,2022-01-07,2017-01-11,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,MEI – Microempreendedor Individual
Luís Correia,2013-08-09,,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,Sociedade Simples Limitada
Luzilândia,2002-12-22,,INFORMAÇÃO E COMUNICAÇÃO,mei,EI – Empresário Individual
Madeiro,2000-08-09,2002-07-09,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Simples Limitada
Manoel Emídio,2009-02-28,2020-09-30,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Sociedade Anônima
Marcolândia,2018-05-14,2004-07-14,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,MEI – Microempreendedor Individual
Marcos Parente,2013-02-07,,EDUCAÇÃO,mei,MEI – Microempreendedor Individual
Massapê do Piauí,2002-04-19,2015-01-24,ALOJAMENTO E ALIMENTAÇÃO,mei,Sociedade Simples Limitada
Matias Olímpio,2018-03-03,2012-10-17,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Sociedade Simples Limitada
Miguel Alves,2015-02-03,2024-05-07,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,EI – Empresário Individual
Miguel Leão,2015-08-27,,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Sociedade Anônima
Milton Brandão,2024-01-26,2014-03-01,INFORMAÇÃO E COMUNICAÇÃO,me,Eireli
Monsenhor Gil,2017-02-24,,INDÚSTRIAS EXTRATIVAS,me,Sociedade Simples Limitada
Monsenhor Hipólito,2004-01-17,2022-06-06,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,MEI – Microempreendedor Individual
Monte Alegre do Piauí,2007-04-15,2020-05-25,EDUCAÇÃO,mei,Sociedade Simples Limitada
Morro Cabeça no Tempo,2004-05-08,2006-05-26,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,Sociedade Anônima
Morro do Chapéu do Piauí,2017-10-10,2010-05-23,SERVIÇOS DOMÉSTICOS,media/grande,MEI – Microempreendedor Individual
Murici dos Portelas,2015-05-11,2006-05-02,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,Sociedade Simples Limitada
Nazaré do Piauí,2006-09-08,2009-06-15,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Sociedade Anônima
Nossa Senhora de Nazaré,2017-08-19,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,EI – Empresário Individual
Nossa Senhora dos Remédios,2007-03-07,2007-03-07,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Sociedade Anônima
Nova Santa Rita,2020-12-11,2018-03-07,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,MEI – Microempreendedor Individual
Novo Oriente do Piauí,2006-10-04,2016-09-13,ELETRICIDADE E GÁS,pequena,Sociedade Simples Limitada
Novo Santo Antônio,2016-10-13,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,EI – Empresário Individual
Oeiras,2011-11-08,2015-10-05,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Sociedade Simples Limitada
Olho d'Água do Piauí,2012-06-11,2022-05-02,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,Sociedade Simples Limitada
Padre Marcos,2000-07-22,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Sociedade Anônima
Paes Landim,2008-11-07,2011-11-18,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Eireli
Pajeú do Piauí,2004-12-26,2010-05-03,COMÉRCIO,pequena,Sociedade Anônima
Palmeira do Piauí,2002-12-17,,INFORMAÇÃO E COMUNICAÇÃO,pequena,Sociedade Simples Limitada
Palmeirais,2008-02-25,2005-11-26,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,EI – Empresário Individual
Paquetá,2020-09-24,2024-02-11,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,EI – Empresário Individual
Parnaguá,2004-08-30,,OUTRAS ATIVIDADES DE SERVIÇOS,mei,Sociedade Simples Limitada
Parnaíba,2020-11-18,2000-12-02,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Sociedade Anônima
Passagem Franca do Piauí,2017-09-06,2001-04-25,COMÉRCIO,pequena,Sociedade Simples Limitada
Patos do Piauí,2009-05-13,2003-03-28,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,Sociedade Anônima
Pau d'Arco do Piauí,2007-01-03,2018-06-03,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Sociedade Simples Limitada
Paulistana,2023-03-04,2005-04-30,ATIVIDADES IMOBILIÁRIAS,pequena,Sociedade Simples Limitada
Pavussu,2008-01-17,2003-04-26,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,Sociedade Simples Limitada
Pedro II,2017-06-09,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,Eireli
Pedro Laurentino,2020-09-15,2005-05-30,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Sociedade Simples Limitada
Picos,2019-11-24,2022-08-29,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,Eireli
Pimenteiras,2019-08-17,2010-10-01,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Eireli
Pio IX,2020-06-26,2007-10-21,EDUCAÇÃO,me,Sociedade Simples Limitada
Piracuruca,2019-12-13,,EDUCAÇÃO,media/grande,Sociedade Anônima
Piripiri,2022-06-13,2019-12-31,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,Sociedade Simples Limitada
Porto,2019-05-14,2005-04-05,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,MEI – Microempreendedor Individual
Porto Alegre do Piauí,2018-08-04,2001-09-02,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,EI – Empresário Individual
Prata do Piauí,2020-08-25,2000-12-18,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Sociedade Simples Limitada
Queimada Nova,2003-05-22,2014-08-28,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Sociedade Simples Limitada
Redenção do Gurguéia,2019-07-20,,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Simples Limitada
Regeneração,2001-12-29,,ELETRICIDADE E GÁS,pequena,Sociedade Anônima
Riacho Frio,2018-01-05,2012-04-01,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,MEI – Microempreendedor Individual
Ribeira do Piauí,2014-04-05,2020-04-13,CONSTRUÇÃO,me,EI – Empresário Individual
Ribeiro Gonçalves,2003-04-05,2008-05-02,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Sociedade Simples Limitada
Rio Grande do Piauí,2003-06-21,2004-11-30,CONSTRUÇÃO,media/grande,EI – Empresário Individual
Santa Cruz do Piauí,2009-01-19,2013-04-16,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,Sociedade Simples Limitada
Santa Cruz dos Milagres,2022-05-09,2018-07-29,CONSTRUÇÃO,media/grande,Eireli
Santa Filomena,2015-05-22,2024-03-08,ATIVIDADES IMOBILIÁRIAS,pequena,Sociedade Simples Limitada
Santa Luz,2004-04-19,2013-07-21,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,Sociedade Anônima
Santa Rosa do Piauí,2005-04-12,2013-10-08,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,Sociedade Simples Limitada
Santana do Piauí,2019-08-14,2014-09-17,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Anônima
Santo Antônio de Lisboa,2022-03-15,2018-11-17,INDÚSTRIAS EXTRATIVAS,pequena,MEI – Microempreendedor Individual
Santo Antônio dos Milagres,2023-01-22,2021-02-09,ELETRICIDADE E GÁS,media/grande,Sociedade Simples Limitada
Santo Inácio do Piauí,2014-07-22,2023-05-14,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Sociedade Anônima
São Braz do Piauí,2005-04-10,2010-01-18,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,MEI – Microempreendedor Individual
São Félix do Piauí,2004-07-20,2009-03-23,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Eireli
São Francisco de Assis do Piauí,2003-02-01,2015-12-08,EDUCAÇÃO,me,Sociedade Simples Limitada
São Francisco do Piauí,2015-12-12,2010-04-04,ELETRICIDADE E GÁS,media/grande,Eireli
São Gonçalo do Gurguéia,2018-02-11,,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Simples Limitada
São Gonçalo do Piauí,2011-05-13,2019-01-01,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,MEI – Microempreendedor Individual
São João da Canabrava,2011-08-26,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,Sociedade Simples Limitada
São João da Fronteira,2015-04-19,2007-08-16,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,EI – Empresário Individual
São João da Serra,2009-07-26,2000-08-24,SERVIÇOS DOMÉSTICOS,mei,Eireli
São João da Varjota,2014-12-09,2022-06-22,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Sociedade Simples Limitada
São João do Arraial,2001-07-07,2003-07-03,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Simples Limitada
São João do Piauí,2010-04-07,2012-06-23,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Sociedade Simples Limitada
São José do Divino,2019-09-04,2012-04-29,CONSTRUÇÃO,mei,MEI – Microempreendedor Individual
São José do Peixe,2005-06-17,2020-10-04,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,Sociedade Anônima
São José do Piauí,2024-04-06,2006-04-16,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Sociedade Anônima
São Julião,2017-06-22,2001-08-13,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Simples Limitada
São Lourenço do Piauí,2002-02-01,2019-02-13,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,EI – Empresário Individual
São Luis do Piauí,2016-02-12,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,EI – Empresário Individual
São Miguel da Baixa Grande,2011-06-07,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,MEI – Microempreendedor Individual
São Miguel do Fidalgo,2021-05-30,2020-06-29,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,Sociedade Anônima
São Miguel do Tapuio,2011-11-30,2020-05-04,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Eireli
São Pedro do Piauí,2021-11-18,2010-12-31,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Simples Limitada
São Raimundo Nonato,2022-01-25,,ELETRICIDADE E GÁS,media/grande,Sociedade Simples Limitada
Sebastião Barros,2024-05-13,2005-12-15,EDUCAÇÃO,pequena,Sociedade Anônima
Sebastião Leal,2015-11-18,2001-07-26,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,MEI – Microempreendedor Individual
Sigefredo Pacheco,2009-04-10,2003-07-21,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,EI – Empresário Individual
Simões,2023-02-04,2013-09-23,EDUCAÇÃO,mei,Sociedade Simples Limitada
Simplício Mendes,2006-05-19,2012-02-27,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",me,MEI – Microempreendedor Individual
Socorro do Piauí,2002-11-14,2009-12-20,OUTRAS ATIVIDADES DE SERVIÇOS,me,EI – Empresário Individual
Sussuapara,2002-07-28,2018-04-26,ELETRICIDADE E GÁS,pequena,Eireli
Tamboril do Piauí,2009-08-13,2021-02-12,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,Sociedade Simples Limitada
Tanque do Piauí,2023-02-27,2010-02-08,OUTRAS ATIVIDADES DE SERVIÇOS,mei,Eireli
Teresina,2007-05-22,2012-01-21,SERVIÇOS DOMÉSTICOS,me,Sociedade Simples Limitada
União,2016-08-21,,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Simples Limitada
Uruçuí,2013-05-16,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,Sociedade Anônima
Valença do Piauí,2012-08-05,2017-12-24,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,Sociedade Simples Limitada
Várzea Branca,2021-08-12,2020-12-17,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,MEI – Microempreendedor Individual
Várzea Grande,2005-01-29,2014-10-22,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,Sociedade Simples Limitada
Vera Mendes,2019-11-28,2012-01-03,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,MEI – Microempreendedor Individual
Vila Nova do Piauí,2015-10-06,2004-07-19,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,MEI – Microempreendedor Individual
Wall Ferraz.,2016-04-20,2015-05-06,CONSTRUÇÃO,pequena,Sociedade Anônima
Acauã,2024-06-09,2011-10-15,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Sociedade Simples Limitada
Agricolândia,2000-12-31,2001-05-31,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Sociedade Simples Limitada
Água Branca,2011-07-05,2009-06-16,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,MEI – Microempreendedor Individual
Alagoinha do Piauí,2015-11-19,,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,Sociedade Anônima
Alegrete do Piauí,2004-02-14,2019-06-16,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,MEI – Microempreendedor Individual
Alto Longá,2011-10-05,2013-07-07,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,MEI – Microempreendedor Individual
Altos,2009-09-21,,INDÚSTRIAS EXTRATIVAS,media/grande,Sociedade Anônima
Alvorada do Gurguéia,2016-11-15,2021-02-23,COMÉRCIO,pequena,Sociedade Simples Limitada
Amarante,2020-12-24,2003-04-22,INDÚSTRIAS EXTRATIVAS,mei,Sociedade Simples Limitada
Angical do Piauí,2012-08-08,2016-12-26,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,Sociedade Simples Limitada
Anísio de Abreu,2014-01-20,2021-09-22,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,Sociedade Simples Limitada
Antônio Almeida,2002-05-06,2009-10-15,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Sociedade Simples Limitada
Aroazes,2010-08-02,2007-02-10,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,Sociedade Simples Limitada
Aroeiras do Itaim,2011-09-18,2013-11-09,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Anônima
Arraial,2020-05-05,2005-12-19,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,MEI – Microempreendedor Individual
Assunção do Piauí,2000-08-23,2011-03-24,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,EI – Empresário Individual
Avelino Lopes,2014-09-28,2023-03-16,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Eireli
Baixa Grande do Ribeiro,2020-09-08,2017-08-04,ELETRICIDADE E GÁS,me,EI – Empresário Individual
Barra d'Alcântara,2012-01-12,,ELETRICIDADE E GÁS,pequena,Sociedade Simples Limitada
Barras,2004-02-27,,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Sociedade Simples Limitada
Barro Duro,2003-06-01,2016-01-03,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,Eireli
Batalha,2002-11-10,2017-02-19,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,MEI – Microempreendedor Individual
Bela Vista do Piauí,2001-10-20,,ALOJAMENTO E ALIMENTAÇÃO,mei,Sociedade Simples Limitada
Belém do Piauí,2005-12-17,2024-06-04,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,EI – Empresário Individual
Beneditinos,2001-10-12,2016-01-06,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,MEI – Microempreendedor Individual
Bertolínia,2012-03-02,,EDUCAÇÃO,me,Eireli
Betânia do Piauí,2004-12-25,2006-10-05,EDUCAÇÃO,pequena,MEI – Microempreendedor Individual
Boa Hora,2004-03-02,,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Simples Limitada
Bocaina,2008-12-16,2007-04-05,COMÉRCIO,me,Sociedade Simples Limitada
Bom Jesus,2018-01-26,2013-03-28,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,MEI – Microempreendedor Individual
Bom Princípio do Piauí,2014-12-24,2001-11-18,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,Sociedade Anônima
Bonfim do Piauí,2016-03-07,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,Sociedade Simples Limitada
Boqueirão do Piauí,2016-06-26,2000-09-25,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,Sociedade Anônima
Brasileira,2009-03-03,,INDÚSTRIAS DE TRANSFORMAÇÃO,me,EI – Empresário Individual
Brejo do Piauí,2011-07-03,2005-11-08,COMÉRCIO,media/grande,Sociedade Simples Limitada
Buriti dos Lopes,2011-05-06,2016-10-26,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,Sociedade Simples Limitada
Buriti dos Montes,2005-02-07,2015-07-02,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,Sociedade Anônima
Cabeceiras do Piauí,2002-01-09,2012-12-04,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,EI – Empresário Individual
Cajazeiras do Piauí,2008-11-30,2015-12-14,ALOJAMENTO E ALIMENTAÇÃO,pequena,Sociedade Simples Limitada
Cajueiro da Praia,2023-04-12,2009-02-13,COMÉRCIO,media/grande,Sociedade Anônima
Caldeirão Grande do Piauí,2009-02-27,2018-07-25,ATIVIDADES IMOBILIÁRIAS,me,MEI – Microempreendedor Individual
Campinas do Piauí,2010-01-25,2008-10-02,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,MEI – Microempreendedor Individual
Campo Alegre do Fidalgo,2019-07-25,2004-11-07,OUTRAS ATIVIDADES DE SERVIÇOS,me,MEI – Microempreendedor Individual
Campo Grande do Piauí,2023-06-11,,ATIVIDADES IMOBILIÁRIAS,mei,Sociedade Simples Limitada
Campo Largo do Piauí,2010-09-24,2003-07-28,ELETRICIDADE E GÁS,mei,EI – Empresário Individual
Campo Maior,2017-10-21,2017-05-21,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Sociedade Anônima
Canavieira,2008-02-14,2017-10-18,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,EI – Empresário Individual
